Time,hhmm,VOLUME
2021-04-07 10:30:00,10:30,4677
2021-04-07 10:40:00,10:40,20773
2021-04-07 10:50:00,10:50,2646
2021-04-07 11:00:00,11:00,11952
2021-04-07 11:10:00,11:10,6694
2021-04-07 11:20:00,11:20,2894
2021-04-07 11:30:00,11:30,6392
2021-04-07 11:40:00,11:40,9301
2021-04-07 11:50:00,11:50,8095
2021-04-07 12:00:00,12:00,10640
2021-04-07 12:10:00,12:10,5164
2021-04-07 12:20:00,12:20,7590
2021-04-07 12:30:00,12:30,4709
2021-04-07 12:40:00,12:40,12939
2021-04-07 12:50:00,12:50,4957
2021-04-07 13:00:00,13:00,1502
2021-04-07 13:10:00,13:10,5422
2021-04-07 13:20:00,13:20,3673
2021-04-07 13:30:00,13:30,8004
2021-04-07 13:40:00,13:40,5789
2021-04-07 13:50:00,13:50,1333
2021-04-07 14:00:00,14:00,1443
2021-04-07 14:10:00,14:10,8228
2021-04-07 14:20:00,14:20,8857
2021-04-07 14:30:00,14:30,5005
2021-04-07 14:40:00,14:40,2805
2021-04-07 14:50:00,14:50,3115
2021-04-07 15:00:00,15:00,6179
2021-04-07 15:10:00,15:10,2839
2021-04-07 15:20:00,15:20,2413
2021-04-07 15:30:00,15:30,5741
2021-04-07 15:40:00,15:40,4345
2021-04-07 15:50:00,15:50,10062
2021-04-07 16:00:00,16:00,28065
2021-04-08 09:40:00,09:40,38497
2021-04-08 09:50:00,09:50,20644
2021-04-08 10:00:00,10:00,25673
2021-04-08 10:10:00,10:10,31192
2021-04-08 10:20:00,10:20,34541
2021-04-08 10:30:00,10:30,17543
2021-04-08 10:40:00,10:40,8727
2021-04-08 10:50:00,10:50,11599
2021-04-08 11:00:00,11:00,11644
2021-04-08 11:10:00,11:10,21373
2021-04-08 11:20:00,11:20,20660
2021-04-08 11:30:00,11:30,8031
2021-04-08 11:40:00,11:40,11468
2021-04-08 11:50:00,11:50,10827
2021-04-08 12:00:00,12:00,5748
2021-04-08 12:10:00,12:10,5635
2021-04-08 12:20:00,12:20,15271
2021-04-08 12:30:00,12:30,16600
2021-04-08 12:40:00,12:40,5624
2021-04-08 12:50:00,12:50,8221
2021-04-08 13:00:00,13:00,3313
2021-04-08 13:10:00,13:10,3902
2021-04-08 13:20:00,13:20,3705
2021-04-08 13:30:00,13:30,3893
2021-04-08 13:40:00,13:40,9390
2021-04-08 13:50:00,13:50,6218
2021-04-08 14:00:00,14:00,2092
