Time,hhmm,VOLUME
2021-04-08 09:50:00,09:50,1310836
2021-04-08 10:00:00,10:00,1397444
2021-04-08 10:10:00,10:10,1181405
2021-04-08 10:20:00,10:20,1110750
2021-04-08 10:30:00,10:30,1001847
2021-04-08 10:40:00,10:40,964667
2021-04-08 10:50:00,10:50,837341
2021-04-08 11:00:00,11:00,743880
2021-04-08 11:10:00,11:10,692352
2021-04-08 11:20:00,11:20,679435
2021-04-08 11:30:00,11:30,894244
2021-04-08 11:40:00,11:40,691875
2021-04-08 11:50:00,11:50,421126
2021-04-08 12:00:00,12:00,382540
2021-04-08 12:10:00,12:10,327144
2021-04-08 12:20:00,12:20,512955
2021-04-08 12:30:00,12:30,469508
2021-04-08 12:40:00,12:40,224742
2021-04-08 12:50:00,12:50,372304
2021-04-08 13:00:00,13:00,358676
2021-04-08 13:10:00,13:10,382421
2021-04-08 13:20:00,13:20,469615
2021-04-08 13:30:00,13:30,251705
2021-04-08 13:40:00,13:40,352134
2021-04-08 13:50:00,13:50,306135
2021-04-08 14:00:00,14:00,403077
2021-04-08 14:10:00,14:10,403851
2021-04-08 14:20:00,14:20,296555
2021-04-08 14:30:00,14:30,401250
2021-04-08 14:40:00,14:40,309693
2021-04-08 14:50:00,14:50,344648
2021-04-08 15:00:00,15:00,559262
2021-04-08 15:10:00,15:10,430756
2021-04-08 15:20:00,15:20,476459
2021-04-08 15:30:00,15:30,445576
2021-04-08 15:40:00,15:40,698832
2021-04-08 15:50:00,15:50,650792
2021-04-08 16:00:00,16:00,3364832
2021-04-09 09:40:00,09:40,2118415
2021-04-09 09:50:00,09:50,1469088
2021-04-09 10:00:00,10:00,1456298
2021-04-09 10:10:00,10:10,985901
2021-04-09 10:20:00,10:20,852338
2021-04-09 10:30:00,10:30,706539
2021-04-09 10:40:00,10:40,870492
2021-04-09 10:50:00,10:50,694096
2021-04-09 11:00:00,11:00,552607
2021-04-09 11:10:00,11:10,1031273
2021-04-09 11:20:00,11:20,778475
2021-04-09 11:30:00,11:30,447912
2021-04-09 11:40:00,11:40,498980
2021-04-09 11:50:00,11:50,558207
2021-04-09 12:00:00,12:00,1063292
2021-04-09 12:10:00,12:10,656661
2021-04-09 12:20:00,12:20,566808
2021-04-09 12:30:00,12:30,621049
2021-04-09 12:40:00,12:40,527574
2021-04-09 12:50:00,12:50,335389
2021-04-09 13:00:00,13:00,398200
2021-04-09 13:10:00,13:10,314625
2021-04-09 13:20:00,13:20,329635
2021-04-09 13:30:00,13:30,558173
2021-04-09 13:40:00,13:40,590597
2021-04-09 13:50:00,13:50,707590
2021-04-09 14:00:00,14:00,804010
2021-04-09 14:10:00,14:10,626952
2021-04-09 14:20:00,14:20,352987
2021-04-09 14:30:00,14:30,378877
2021-04-09 14:40:00,14:40,418416
2021-04-09 14:50:00,14:50,384102
2021-04-09 15:00:00,15:00,594298
2021-04-09 15:10:00,15:10,792714
2021-04-09 15:20:00,15:20,679560
2021-04-09 15:30:00,15:30,811111
2021-04-09 15:40:00,15:40,1490692
2021-04-09 15:50:00,15:50,1429441
2021-04-09 16:00:00,16:00,3524673
2021-04-12 09:40:00,09:40,1728176
2021-04-12 09:50:00,09:50,1293675
2021-04-12 10:00:00,10:00,1137500
2021-04-12 10:10:00,10:10,1006409
2021-04-12 10:20:00,10:20,900590
2021-04-12 10:30:00,10:30,532322
2021-04-12 10:40:00,10:40,911997
2021-04-12 10:50:00,10:50,1027298
2021-04-12 11:00:00,11:00,886174
2021-04-12 11:10:00,11:10,581236
2021-04-12 11:20:00,11:20,478060
2021-04-12 11:30:00,11:30,464850
2021-04-12 11:40:00,11:40,496659
2021-04-12 11:50:00,11:50,604818
2021-04-12 12:00:00,12:00,577433
2021-04-12 12:10:00,12:10,581455
2021-04-12 12:20:00,12:20,327892
2021-04-12 12:30:00,12:30,395237
2021-04-12 12:40:00,12:40,895390
2021-04-12 12:50:00,12:50,339102
2021-04-12 13:00:00,13:00,283662
2021-04-12 13:10:00,13:10,391577
2021-04-12 13:20:00,13:20,402370
2021-04-12 13:30:00,13:30,347194
2021-04-12 13:40:00,13:40,333469
2021-04-12 13:50:00,13:50,470334
2021-04-12 14:00:00,14:00,343007
2021-04-12 14:10:00,14:10,544194
2021-04-12 14:20:00,14:20,296727
2021-04-12 14:30:00,14:30,276869
2021-04-12 14:40:00,14:40,205207
2021-04-12 14:50:00,14:50,306715
2021-04-12 15:00:00,15:00,285246
2021-04-12 15:10:00,15:10,579866
2021-04-12 15:20:00,15:20,342588
2021-04-12 15:30:00,15:30,445712
2021-04-12 15:40:00,15:40,567384
2021-04-12 15:50:00,15:50,684568
2021-04-12 16:00:00,16:00,2001237
2021-04-13 09:40:00,09:40,1960942
2021-04-13 09:50:00,09:50,1487029
2021-04-13 10:00:00,10:00,1256467
2021-04-13 10:10:00,10:10,795118
2021-04-13 10:20:00,10:20,822806
2021-04-13 10:30:00,10:30,1079193
2021-04-13 10:40:00,10:40,809245
2021-04-13 10:50:00,10:50,861639
2021-04-13 11:00:00,11:00,504803
2021-04-13 11:10:00,11:10,555781
2021-04-13 11:20:00,11:20,695948
2021-04-13 11:30:00,11:30,636011
2021-04-13 11:40:00,11:40,749644
2021-04-13 11:50:00,11:50,465695
2021-04-13 12:00:00,12:00,376037
2021-04-13 12:10:00,12:10,514148
2021-04-13 12:20:00,12:20,820142
2021-04-13 12:30:00,12:30,278368
2021-04-13 12:40:00,12:40,266046
2021-04-13 12:50:00,12:50,388284
2021-04-13 13:00:00,13:00,385930
2021-04-13 13:10:00,13:10,734013
2021-04-13 13:20:00,13:20,335066
2021-04-13 13:30:00,13:30,255679
2021-04-13 13:40:00,13:40,406978
2021-04-13 13:50:00,13:50,368019
2021-04-13 14:00:00,14:00,334257
2021-04-13 14:10:00,14:10,658131
2021-04-13 14:20:00,14:20,456208
2021-04-13 14:30:00,14:30,337829
2021-04-13 14:40:00,14:40,661700
2021-04-13 14:50:00,14:50,480821
2021-04-13 15:00:00,15:00,456917
2021-04-13 15:10:00,15:10,612739
2021-04-13 15:20:00,15:20,684252
2021-04-13 15:30:00,15:30,504083
2021-04-13 15:40:00,15:40,780215
2021-04-13 15:50:00,15:50,1454819
2021-04-13 16:00:00,16:00,2668070
2021-04-14 09:40:00,09:40,1821569
2021-04-14 09:50:00,09:50,1318111
2021-04-14 10:00:00,10:00,1300994
2021-04-14 10:10:00,10:10,1124869
2021-04-14 10:20:00,10:20,789335
2021-04-14 10:30:00,10:30,1264627
2021-04-14 10:40:00,10:40,1188943
2021-04-14 10:50:00,10:50,873397
2021-04-14 11:00:00,11:00,844821
2021-04-14 11:10:00,11:10,1161670
2021-04-14 11:20:00,11:20,1050370
2021-04-14 11:30:00,11:30,1262903
2021-04-14 11:40:00,11:40,987632
2021-04-14 11:50:00,11:50,546165
2021-04-14 12:00:00,12:00,464193
2021-04-14 12:10:00,12:10,647219
2021-04-14 12:20:00,12:20,517775
